eleccion;comuna;cut_comuna;region;cut_region;candidatura;votos;votos_comuna;votos_comuna_mayoria;ganador_comuna
Primera vuelta;Angol;9201;La Araucanía;9;Sebastian Sichel;2021;21457;9982;Jose Antonio Kast
Primera vuelta;Angol;9201;La Araucanía;9;Votos En Blanco;110;21457;9982;Jose Antonio Kast
Primera vuelta;Angol;9201;La Araucanía;9;Votos Nulos;177;21457;9982;Jose Antonio Kast
Primera vuelta;Angol;9201;La Araucanía;9;Yasna Provoste;2197;21457;9982;Jose Antonio Kast
Primera vuelta;Antofagasta;2101;Antofagasta;2;Eduardo Artes;1635;123689;36308;Franco Aldo Parisi
Primera vuelta;Antofagasta;2101;Antofagasta;2;Franco Aldo Parisi;36308;123689;36308;Franco Aldo Parisi
Primera vuelta;Antofagasta;2101;Antofagasta;2;Gabriel Boric;28152;123689;36308;Franco Aldo Parisi
Primera vuelta;Antofagasta;2101;Antofagasta;2;Jose Antonio Kast;27263;123689;36308;Franco Aldo Parisi
Primera vuelta;Antofagasta;2101;Antofagasta;2;Marco Enriquez-Ominami;8870;123689;36308;Franco Aldo Parisi
Primera vuelta;Antofagasta;2101;Antofagasta;2;Sebastian Sichel;9976;123689;36308;Franco Aldo Parisi
Primera vuelta;Antofagasta;2101;Antofagasta;2;Votos En Blanco;384;123689;36308;Franco Aldo Parisi
Primera vuelta;Antofagasta;2101;Antofagasta;2;Votos Nulos;958;123689;36308;Franco Aldo Parisi
Primera vuelta;Antofagasta;2101;Antofagasta;2;Yasna Provoste;10143;123689;36308;Franco Aldo Parisi
Primera vuelta;Antuco;8302;Biobío;8;Eduardo Artes;17;1880;547;Jose Antonio Kast
Primera vuelta;Antuco;8302;Biobío;8;Franco Aldo Parisi;400;1880;547;Jose Antonio Kast
Primera vuelta;Antuco;8302;Biobío;8;Gabriel Boric;245;1880;547;Jose Antonio Kast
Primera vuelta;Antuco;8302;Biobío;8;Jose Antonio Kast;547;1880;547;Jose Antonio Kast
Primera vuelta;Antuco;8302;Biobío;8;Marco Enriquez-Ominami;91;1880;547;Jose Antonio Kast
Primera vuelta;Antuco;8302;Biobío;8;Sebastian Sichel;210;1880;547;Jose Antonio Kast
Primera vuelta;Antuco;8302;Biobío;8;Votos En Blanco;11;1880;547;Jose Antonio Kast
Primera vuelta;Antuco;8302;Biobío;8;Votos Nulos;27;1880;547;Jose Antonio Kast
Primera vuelta;Antuco;8302;Biobío;8;Yasna Provoste;332;1880;547;Jose Antonio Kast
Primera vuelta;Arauco;8202;Biobío;8;Eduardo Artes;123;14605;4983;Jose Antonio Kast
Primera vuelta;Arauco;8202;Biobío;8;Franco Aldo Parisi;3366;14605;4983;Jose Antonio Kast
Primera vuelta;Arauco;8202;Biobío;8;Gabriel Boric;2203;14605;4983;Jose Antonio Kast
Primera vuelta;Arauco;8202;Biobío;8;Jose Antonio Kast;4983;14605;4983;Jose Antonio Kast
Primera vuelta;Arauco;8202;Biobío;8;Marco Enriquez-Ominami;862;14605;4983;Jose Antonio Kast
Primera vuelta;Arauco;8202;Biobío;8;Sebastian Sichel;1138;14605;4983;Jose Antonio Kast
Primera vuelta;Arauco;8202;Biobío;8;Votos En Blanco;100;14605;4983;Jose Antonio Kast
Primera vuelta;Arauco;8202;Biobío;8;Votos Nulos;143;14605;4983;Jose Antonio Kast
Primera vuelta;Arauco;8202;Biobío;8;Yasna Provoste;1687;14605;4983;Jose Antonio Kast
Primera vuelta;Arica;15101;Arica y Parinacota;15;Eduardo Artes;952;82303;24070;Jose Antonio Kast
Primera vuelta;Arica;15101;Arica y Parinacota;15;Franco Aldo Parisi;23034;82303;24070;Jose Antonio Kast
Primera vuelta;Arica;15101;Arica y Parinacota;15;Gabriel Boric;14763;82303;24070;Jose Antonio Kast
Primera vuelta;Arica;15101;Arica y Parinacota;15;Jose Antonio Kast;24070;82303;24070;Jose Antonio Kast
Primera vuelta;Arica;15101;Arica y Parinacota;15;Marco Enriquez-Ominami;4536;82303;24070;Jose Antonio Kast
Primera vuelta;Arica;15101;Arica y Parinacota;15;Sebastian Sichel;6020;82303;24070;Jose Antonio Kast
Primera vuelta;Arica;15101;Arica y Parinacota;15;Votos En Blanco;295;82303;24070;Jose Antonio Kast
Primera vuelta;Arica;15101;Arica y Parinacota;15;Votos Nulos;712;82303;24070;Jose Antonio Kast
Primera vuelta;Arica;15101;Arica y Parinacota;15;Yasna Provoste;7921;82303;24070;Jose Antonio Kast
Primera vuelta;Buin;13402;Metropolitana de Santiago;13;Eduardo Artes;513;39906;11635;Jose Antonio Kast
Primera vuelta;Buin;13402;Metropolitana de Santiago;13;Franco Aldo Parisi;5237;39906;11635;Jose Antonio Kast
Primera vuelta;Buin;13402;Metropolitana de Santiago;13;Gabriel Boric;10500;39906;11635;Jose Antonio Kast
Primera vuelta;Buin;13402;Metropolitana de Santiago;13;Jose Antonio Kast;11635;39906;11635;Jose Antonio Kast
Primera vuelta;Buin;13402;Metropolitana de Santiago;13;Marco Enriquez-Ominami;3189;39906;11635;Jose Antonio Kast
Primera vuelta;Buin;13402;Metropolitana de Santiago;13;Sebastian Sichel;4609;39906;11635;Jose Antonio Kast
Primera vuelta;Buin;13402;Metropolitana de Santiago;13;Votos En Blanco;132;39906;11635;Jose Antonio Kast
Primera vuelta;Buin;13402;Metropolitana de Santiago;13;Votos Nulos;282;39906;11635;Jose Antonio Kast
Primera vuelta;Buin;13402;Metropolitana de Santiago;13;Yasna Provoste;3809;39906;11635;Jose Antonio Kast
Primera vuelta;Bulnes;16102;Ñuble;16;Eduardo Artes;79;8722;3045;Jose Antonio Kast
Primera vuelta;Bulnes;16102;Ñuble;16;Franco Aldo Parisi;965;8722;3045;Jose Antonio Kast
Primera vuelta;Bulnes;16102;Ñuble;16;Gabriel Boric;1265;8722;3045;Jose Antonio Kast
Primera vuelta;Bulnes;16102;Ñuble;16;Jose Antonio Kast;3045;8722;3045;Jose Antonio Kast
Primera vuelta;Bulnes;16102;Ñuble;16;Marco Enriquez-Ominami;458;8722;3045;Jose Antonio Kast
Primera vuelta;Bulnes;16102;Ñuble;16;Sebastian Sichel;1273;8722;3045;Jose Antonio Kast
Primera vuelta;Bulnes;16102;Ñuble;16;Votos En Blanco;77;8722;3045;Jose Antonio Kast
Primera vuelta;Bulnes;16102;Ñuble;16;Votos Nulos;104;8722;3045;Jose Antonio Kast
Primera vuelta;Bulnes;16102;Ñuble;16;Yasna Provoste;1456;8722;3045;Jose Antonio Kast
Primera vuelta;Cabildo;5402;Valparaíso;5;Eduardo Artes;100;7887;2322;Gabriel Boric
Primera vuelta;Cabildo;5402;Valparaíso;5;Franco Aldo Parisi;1308;7887;2322;Gabriel Boric
Primera vuelta;Cabildo;5402;Valparaíso;5;Gabriel Boric;2322;7887;2322;Gabriel Boric
Primera vuelta;Cabildo;5402;Valparaíso;5;Jose Antonio Kast;1437;7887;2322;Gabriel Boric
Primera vuelta;Cabildo;5402;Valparaíso;5;Marco Enriquez-Ominami;680;7887;2322;Gabriel Boric
Primera vuelta;Cabildo;5402;Valparaíso;5;Sebastian Sichel;663;7887;2322;Gabriel Boric
Primera vuelta;Cabildo;5402;Valparaíso;5;Votos En Blanco;42;7887;2322;Gabriel Boric
Primera vuelta;Cabildo;5402;Valparaíso;5;Votos Nulos;77;7887;2322;Gabriel Boric
Primera vuelta;Cabildo;5402;Valparaíso;5;Yasna Provoste;1258;7887;2322;Gabriel Boric
Primera vuelta;Cabo de Hornos;12201;Magallanes y de la Antártica Chilena;12;Eduardo Artes;10;878;421;Jose Antonio Kast
Primera vuelta;Cabo de Hornos;12201;Magallanes y de la Antártica Chilena;12;Franco Aldo Parisi;82;878;421;Jose Antonio Kast
Primera vuelta;Cabo de Hornos;12201;Magallanes y de la Antártica Chilena;12;Gabriel Boric;189;878;421;Jose Antonio Kast
Primera vuelta;Cabo de Hornos;12201;Magallanes y de la Antártica Chilena;12;Jose Antonio Kast;421;878;421;Jose Antonio Kast
Primera vuelta;Cabo de Hornos;12201;Magallanes y de la Antártica Chilena;12;Marco Enriquez-Ominami;28;878;421;Jose Antonio Kast
Primera vuelta;Cabo de Hornos;12201;Magallanes y de la Antártica Chilena;12;Sebastian Sichel;63;878;421;Jose Antonio Kast
Primera vuelta;Cabo de Hornos;12201;Magallanes y de la Antártica Chilena;12;Votos En Blanco;5;878;421;Jose Antonio Kast
Primera vuelta;Cabo de Hornos;12201;Magallanes y de la Antártica Chilena;12;Votos Nulos;6;878;421;Jose Antonio Kast
Primera vuelta;Cabo de Hornos;12201;Magallanes y de la Antártica Chilena;12;Yasna Provoste;74;878;421;Jose Antonio Kast
Primera vuelta;Cabrero;8303;Biobío;8;Eduardo Artes;74;10955;3698;Jose Antonio Kast
Primera vuelta;Cabrero;8303;Biobío;8;Franco Aldo Parisi;2771;10955;3698;Jose Antonio Kast
Primera vuelta;Cabrero;8303;Biobío;8;Gabriel Boric;1309;10955;3698;Jose Antonio Kast
Primera vuelta;Cabrero;8303;Biobío;8;Jose Antonio Kast;3698;10955;3698;Jose Antonio Kast
Primera vuelta;Cabrero;8303;Biobío;8;Marco Enriquez-Ominami;691;10955;3698;Jose Antonio Kast
Primera vuelta;Cabrero;8303;Biobío;8;Sebastian Sichel;942;10955;3698;Jose Antonio Kast
Primera vuelta;Cabrero;8303;Biobío;8;Votos En Blanco;98;10955;3698;Jose Antonio Kast
Primera vuelta;Cabrero;8303;Biobío;8;Votos Nulos;93;10955;3698;Jose Antonio Kast
Primera vuelta;Cabrero;8303;Biobío;8;Yasna Provoste;1279;10955;3698;Jose Antonio Kast
Primera vuelta;Calama;2201;Antofagasta;2;Eduardo Artes;595;58027;23638;Franco Aldo Parisi
Primera vuelta;Calama;2201;Antofagasta;2;Franco Aldo Parisi;23638;58027;23638;Franco Aldo Parisi
Primera vuelta;Calama;2201;Antofagasta;2;Gabriel Boric;8984;58027;23638;Franco Aldo Parisi
Primera vuelta;Calama;2201;Antofagasta;2;Jose Antonio Kast;11688;58027;23638;Franco Aldo Parisi
Primera vuelta;Calama;2201;Antofagasta;2;Marco Enriquez-Ominami;3910;58027;23638;Franco Aldo Parisi
Primera vuelta;Calama;2201;Antofagasta;2;Sebastian Sichel;3589;58027;23638;Franco Aldo Parisi
Primera vuelta;Calama;2201;Antofagasta;2;Votos En Blanco;189;58027;23638;Franco Aldo Parisi
Primera vuelta;Calama;2201;Antofagasta;2;Votos Nulos;522;58027;23638;Franco Aldo Parisi
Primera vuelta;Calama;2201;Antofagasta;2;Yasna Provoste;4912;58027;23638;Franco Aldo Parisi
Primera vuelta;Calbuco;10102;Los Lagos;10;Eduardo Artes;154;11463;3388;Jose Antonio Kast
Primera vuelta;Calbuco;10102;Los Lagos;10;Franco Aldo Parisi;2208;11463;3388;Jose Antonio Kast
Primera vuelta;Calbuco;10102;Los Lagos;10;Gabriel Boric;2162;11463;3388;Jose Antonio Kast
Primera vuelta;Calbuco;10102;Los Lagos;10;Jose Antonio Kast;3388;11463;3388;Jose Antonio Kast
Primera vuelta;Calbuco;10102;Los Lagos;10;Marco Enriquez-Ominami;710;11463;3388;Jose Antonio Kast
Primera vuelta;Calbuco;10102;Los Lagos;10;Sebastian Sichel;1099;11463;3388;Jose Antonio Kast
Primera vuelta;Calbuco;10102;Los Lagos;10;Votos En Blanco;168;11463;3388;Jose Antonio Kast
Primera vuelta;Calbuco;10102;Los Lagos;10;Votos Nulos;142;11463;3388;Jose Antonio Kast
Primera vuelta;Calbuco;10102;Los Lagos;10;Yasna Provoste;1432;11463;3388;Jose Antonio Kast
Primera vuelta;Caldera;3102;Atacama;3;Eduardo Artes;105;7291;1741;Franco Aldo Parisi
Primera vuelta;Caldera;3102;Atacama;3;Franco Aldo Parisi;1741;7291;1741;Franco Aldo Parisi
Primera vuelta;Caldera;3102;Atacama;3;Gabriel Boric;1516;7291;1741;Franco Aldo Parisi
Primera vuelta;Caldera;3102;Atacama;3;Jose Antonio Kast;1263;7291;1741;Franco Aldo Parisi
Primera vuelta;Caldera;3102;Atacama;3;Marco Enriquez-Ominami;458;7291;1741;Franco Aldo Parisi
Primera vuelta;Caldera;3102;Atacama;3;Sebastian Sichel;440;7291;1741;Franco Aldo Parisi
Primera vuelta;Caldera;3102;Atacama;3;Votos En Blanco;38;7291;1741;Franco Aldo Parisi
Primera vuelta;Caldera;3102;Atacama;3;Votos Nulos;50;7291;1741;Franco Aldo Parisi
Primera vuelta;Caldera;3102;Atacama;3;Yasna Provoste;1680;7291;1741;Franco Aldo Parisi
Primera vuelta;Calera;5502;Valparaíso;5;Eduardo Artes;276;21673;5607;Gabriel Boric
Primera vuelta;Calera;5502;Valparaíso;5;Franco Aldo Parisi;4967;21673;5607;Gabriel Boric
Primera vuelta;Calera;5502;Valparaíso;5;Gabriel Boric;5607;21673;5607;Gabriel Boric
Primera vuelta;Calera;5502;Valparaíso;5;Jose Antonio Kast;4012;21673;5607;Gabriel Boric
Primera vuelta;Calera;5502;Valparaíso;5;Marco Enriquez-Ominami;2442;21673;5607;Gabriel Boric
Primera vuelta;Calera;5502;Valparaíso;5;Sebastian Sichel;2066;21673;5607;Gabriel Boric
Primera vuelta;Calera;5502;Valparaíso;5;Votos En Blanco;77;21673;5607;Gabriel Boric
Primera vuelta;Calera;5502;Valparaíso;5;Votos Nulos;199;21673;5607;Gabriel Boric
Primera vuelta;Calera;5502;Valparaíso;5;Yasna Provoste;2027;21673;5607;Gabriel Boric
Primera vuelta;Calera de Tango;13403;Metropolitana de Santiago;13;Eduardo Artes;115;10603;3596;Jose Antonio Kast
